PassengerId,Survived
761,0
774,0
267,0
508,1
525,0
170,0
190,0
361,1
692,0
336,0
75,0
815,0
235,0
526,0
688,0
519,0
271,1
755,1
62,1
428,0
367,1
50,0
244,0
674,0
553,0
414,0
575,0
359,0
232,0
101,0
765,0
592,1
717,1
863,0
39,0
438,1
450,1
187,0
269,1
759,0
671,0
139,0
797,0
561,0
554,0
316,0
237,0
312,1
779,0
622,1
652,0
712,1
19,0
740,0
216,1
98,1
528,1
686,1
391,1
38,0
306,1
856,0
93,1
36,1
163,0
238,1
757,0
405,0
398,0
188,1
82,0
855,0
808,0
868,1
614,0
532,0
461,1
197,0
7,1
154,0
726,0
513,1
795,0
120,0
871,0
52,0
496,0
661,1
809,0
143,0
410,0
242,0
344,0
634,0
22,0
78,0
862,0
191,0
293,0
2,1
302,0
40,0
195,1
347,0
672,1
600,1
690,1
883,0
737,1
173,0
368,0
279,0
257,1
386,0
750,0
874,0
880,1
574,0
817,0
545,1
596,0
418,1
662,0
695,1
559,1
113,0
571,0
729,0
498,0
849,0
738,1
104,0
184,0
796,0
628,1
81,0
180,0
864,0
558,1
85,0
225,1
297,0
687,0
196,1
136,0
382,0
888,1
590,0
127,0
683,0
24,1
626,1
891,0
129,0
358,0
749,1
379,0
460,0
637,0
106,0
417,0
122,0
769,0
153,0
141,0
462,0
744,0
673,0
807,0
54,0
506,1
546,1
685,0
92,0
220,0
263,1
394,1
463,1
374,1
