2013/1/4 10:00 UPDATE

DATE,TIME,実績(万kW)
2012/7/2,0:00,261
2012/7/2,1:00,256
2012/7/2,2:00,269
2012/7/2,3:00,289
2012/7/2,4:00,297
2012/7/2,5:00,289
2012/7/2,6:00,282
2012/7/2,7:00,297
2012/7/2,8:00,344
2012/7/2,9:00,378
2012/7/2,10:00,395
2012/7/2,11:00,403
2012/7/2,12:00,388
2012/7/2,13:00,410
2012/7/2,14:00,413
2012/7/2,15:00,410
2012/7/2,16:00,409
2012/7/2,17:00,396
2012/7/2,18:00,389
2012/7/2,19:00,387
2012/7/2,20:00,370
2012/7/2,21:00,345
2012/7/2,22:00,317
2012/7/2,23:00,296
2012/7/3,0:00,276
2012/7/3,1:00,271
2012/7/3,2:00,280
2012/7/3,3:00,298
2012/7/3,4:00,306
2012/7/3,5:00,295
2012/7/3,6:00,294
2012/7/3,7:00,314
2012/7/3,8:00,366
2012/7/3,9:00,396
2012/7/3,10:00,405
2012/7/3,11:00,407
2012/7/3,12:00,380
2012/7/3,13:00,398
2012/7/3,14:00,398
2012/7/3,15:00,394
2012/7/3,16:00,394
2012/7/3,17:00,383
2012/7/3,18:00,379
2012/7/3,19:00,369
2012/7/3,20:00,354
2012/7/3,21:00,329
2012/7/3,22:00,308
2012/7/3,23:00,294
2012/7/4,0:00,276
2012/7/4,1:00,273
2012/7/4,2:00,285
2012/7/4,3:00,303
2012/7/4,4:00,312
2012/7/4,5:00,300
2012/7/4,6:00,282
2012/7/4,7:00,294
2012/7/4,8:00,349
2012/7/4,9:00,381
2012/7/4,10:00,399
2012/7/4,11:00,409
2012/7/4,12:00,385
2012/7/4,13:00,401
2012/7/4,14:00,401
2012/7/4,15:00,397
2012/7/4,16:00,396
2012/7/4,17:00,385
2012/7/4,18:00,382
2012/7/4,19:00,376
2012/7/4,20:00,358
2012/7/4,21:00,333
2012/7/4,22:00,314
2012/7/4,23:00,300
2012/7/5,0:00,284
2012/7/5,1:00,279
2012/7/5,2:00,291
2012/7/5,3:00,310
2012/7/5,4:00,318
2012/7/5,5:00,306
2012/7/5,6:00,299
2012/7/5,7:00,307
2012/7/5,8:00,356
2012/7/5,9:00,386
2012/7/5,10:00,398
2012/7/5,11:00,404
2012/7/5,12:00,383
2012/7/5,13:00,403
2012/7/5,14:00,405
2012/7/5,15:00,401
2012/7/5,16:00,401
2012/7/5,17:00,388
2012/7/5,18:00,384
2012/7/5,19:00,381
2012/7/5,20:00,364
2012/7/5,21:00,338
2012/7/5,22:00,314
2012/7/5,23:00,295
2012/7/6,0:00,276
2012/7/6,1:00,275
2012/7/6,2:00,287
2012/7/6,3:00,304
2012/7/6,4:00,312
2012/7/6,5:00,300
2012/7/6,6:00,293
2012/7/6,7:00,306
