words,vectors
合計,"[-0.8763218  -0.12602329 -0.676978    0.23382992 -0.17103624 -0.38506937
  0.13929294 -1.6818416   1.0881515  -0.31633255  0.02987906  0.3940664
  0.03805185 -0.44653156  0.5597895  -0.35874474 -0.0120125   0.12511605
 -0.7536647   0.2772858   1.074012   -0.41272843 -0.32716483 -0.54901505
  0.18381698 -0.18818209  0.36570954  0.02028446 -0.48128343  0.10311113
 -0.4213473  -0.47318816 -0.48993662 -0.23408058 -0.2560618  -0.23118758
 -0.20122252 -0.1574621  -0.9244064  -0.02775647  0.23084167  0.61030674
  0.19530912 -0.3282182  -0.3188648  -0.9471049  -0.29149717  0.29191622
  0.05593498  0.4036484  -0.04112655 -0.13066505 -0.20560218  0.5681992
  0.52432793  1.0193901  -0.79510915 -0.29996377  0.05756842  0.35869464
 -0.10344836 -0.08138453  0.27057293  0.01382334  0.37129843  0.5437401
 -0.18961623 -0.67410487 -0.21641849 -0.5597599   0.22942705 -0.23735124
 -0.005777    0.06620225  0.14867157 -0.0356192  -0.87358254 -0.5342883
  0.10871153 -0.03453956  0.0873638   0.23071565  0.45634466  0.4786743
  0.14111347  0.18534832  0.0641664  -0.22612593  1.072176    0.10253296
  0.00855912 -0.35125557 -0.17224286  0.28162956 -0.78195125  0.23462026
 -0.07748535 -0.11699558 -1.0171366   0.21262754 -0.42825294  0.4670588
 -0.03634118 -1.9314264   0.54242766 -0.9699379   0.03203394 -0.7786652
  0.00433349  0.37987727  0.15315007 -0.52120465 -0.0919378  -0.2862807
 -0.10167181 -0.65144444 -0.27285284  0.04454224 -0.05529983  0.23241968
  0.25739875  0.37086436  0.15145926  0.08504417 -0.34324035 -0.00756089
 -0.1603989  -0.6599617  -0.11693141  0.25131258  0.01138373 -0.45550612
 -1.1256412  -0.41603002  0.4108214   0.333227   -0.1698773   0.30266804
  0.511252   -0.8236984  -0.00655152  0.58207756 -0.37438282 -0.6555809
  0.06692035  0.6257335   0.83002126 -0.1987798   0.53535694 -0.42677
  0.34655803 -0.527947    0.53740245 -0.55636734 -0.12375899 -0.3809101
  0.59214425 -0.6194839  -0.4287804   0.15085843 -0.6973074   0.79995275
  0.03590809 -1.0203614  -0.13132219 -0.66025645 -0.16172816 -0.35197508
 -0.62765336  0.16767527 -0.40445694 -0.8475318   0.13357633 -0.31028494
  0.3105156  -0.00968072 -0.8889026  -0.7003289   0.40203765 -0.31847668
  0.5772891   0.8981191   0.07086112 -0.11500034 -0.34503892 -0.6058354
 -0.26287794 -0.6901966   0.17299248 -0.839748    0.40431407  0.20232803
 -0.5615293  -0.18171512 -0.35882443  0.39180732  0.7354865   0.85760236
 -0.2655262  -0.07654279]"
遣唐使,[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
熱帯魚,"[-0.10088664  0.44826913 -0.55415    -0.24382113 -0.18443483 -0.32406306
 -0.372506   -0.1748456  -0.01805513  0.18466157 -0.23750621  0.2796534
 -0.3664992   0.5076867  -0.13298205 -0.25860605  0.547508   -0.5419096
 -0.18578036 -0.12909643 -0.2610436   0.08922051  0.21790075  0.16773239
  0.2493722   0.47667727 -0.5990676   0.54068446 -0.07612771  0.15376616
 -0.7981657  -0.6478547   0.04524451  0.13174982 -0.32537368  0.455593
 -0.06132087 -0.14309452 -0.68354136  0.275712   -0.17309022 -0.5179601
  0.2803953   0.04403429 -0.27035907  0.22207314 -0.37763286  0.4163801
 -0.8858178   0.7704239  -0.14020412 -0.02360118  0.2944713  -0.09465472
  0.34612873  0.3652234  -0.13192247 -0.78462625 -0.1356481  -0.45778176
  0.25408128  0.05590728 -0.03162827  0.26145372 -0.05773088  0.06886462
 -0.31728077  0.05821721  0.4479302  -0.10323959 -0.06229395 -0.17504585
 -0.35396522  0.21481626  0.4118328   0.55699307  0.23536758 -0.01115002
 -0.55265325 -0.16595194 -0.20653969 -0.14475915 -0.11810539 -0.24807915
 -0.68526727  0.08076111  0.12354866  0.15998907 -0.4011543   0.01338192
 -0.27945253 -0.14638983 -0.546319   -0.08135571 -0.05584505 -0.07547829
  0.07984792 -0.44360694 -0.18090697  0.06636264 -0.9602658  -0.37894538
 -0.47488993  0.35681072  0.38510782  0.00652684 -0.30452174  0.07302073
  0.13082245  0.3021584  -0.12908892  0.05147037  0.12719044 -0.04709305
 -0.13742635 -0.2657553  -0.20759757  0.5758946   0.26614633  0.09609551
  0.4604738  -0.06904023 -0.2826819  -0.22612107 -0.47481307 -0.25334552
 -0.57170033  0.30851448 -0.02271599 -0.1608145   0.25577855  0.21718073
  0.19331378 -0.06370158  0.42705396  0.03529989  0.25003526  0.26382467
 -0.18511912  0.3237215  -1.0010718  -0.3972209  -0.7315934   0.02976273
 -0.48635638  0.02083718 -0.5326827   0.36676705  0.2873162  -0.18796198
  0.4651946  -0.39382756 -0.1211591   0.18169695  0.22890483 -0.6642536
 -0.10724594 -0.10669674  0.12348419 -0.15512273 -0.5053879  -0.03586003
  0.26886356 -0.08437504  0.16390106 -0.2168807   0.11484607  0.24361676
  0.59253305 -0.6128905   0.10077544 -0.551341    0.6935951  -0.18024182
 -0.0975748   0.08752619  0.4839669   1.055713   -0.32836592 -0.5608049
 -0.3881239   0.31256965  0.31533727 -0.37312442 -0.20882508  0.1040292
  0.13089348 -0.03130189 -0.5114839  -0.8823992  -0.30661777  0.07681946
 -0.1727815   0.20806506  0.11443179  0.29067096 -0.02578753 -0.48877573
 -0.13865022 -0.16294596]"
向け,"[ 9.46689770e-02  1.12323090e-01 -5.78543879e-02 -2.79766530e-01
  8.66978467e-02 -9.56737161e-01  5.01086235e-01 -2.49749571e-01
  7.54784346e-02  4.95710149e-02 -5.41734211e-02  2.44788080e-01
 -3.28428239e-01 -3.84894945e-02  3.21595728e-01  2.70726770e-01
  4.16329086e-01 -4.94213015e-01 -4.94863391e-01 -1.04721032e-01
 -4.59061965e-04 -3.78582805e-01  4.55519378e-01  1.58467472e-01
 -4.53157276e-01 -8.02502632e-02 -5.30690789e-01 -4.06682253e-01
  7.96662986e-01  2.88048565e-01  4.14460480e-01 -1.48516819e-01
  1.70473218e-01  1.00158669e-01  4.47223186e-01 -6.47613138e-04
  2.99165696e-01 -1.87086761e-01 -4.06879932e-01  4.76741642e-01
 -4.68055159e-01  2.04238445e-01  1.53555870e-01  1.42210983e-02
 -4.04195726e-01 -9.53558274e-03 -6.52410209e-01 -3.56628716e-01
 -3.59357297e-01  1.40562460e-01 -5.03458679e-01 -6.00912094e-01
 -4.82915670e-01  7.51691759e-02  4.10240404e-02 -7.70471841e-02
  2.49910317e-02 -2.61527658e-01 -5.39484978e-01 -2.09486902e-01
  2.02337533e-01 -1.19526654e-01  2.19831333e-01  4.37176764e-01
  1.00967914e-01  3.03369939e-01  4.94228125e-01 -5.23850555e-03
  3.31467181e-01 -7.28603378e-02 -1.32062241e-01 -6.92726910e-01
  3.20258588e-02 -6.51312888e-01 -1.36366978e-01  1.01764269e-01
 -2.80638754e-01  9.36808735e-02 -9.11416635e-02  1.22481324e-02
  4.11759615e-01 -6.17947638e-01 -3.87774229e-01 -1.81884184e-01
  5.92235476e-04 -1.75342381e-01  1.33175835e-01 -9.01551247e-02
 -3.19902182e-01  2.09768582e-02  4.35617000e-01  2.38021448e-01
 -1.07234465e-02 -1.66196138e-01  5.08003771e-01  6.42515242e-01
  1.66845545e-01  8.80622044e-02  2.66326398e-01  1.30209327e-01
  4.43695188e-01 -1.01790903e-02 -1.84673756e-01  3.66225541e-01
 -3.59251261e-01 -1.96172640e-01 -8.65727961e-02 -1.01871386e-01
 -5.79099298e-01 -1.51080579e-01 -2.90999025e-01 -2.50080943e-01
 -1.69488326e-01 -5.20568252e-01  6.54248567e-03  3.73999298e-01
 -3.13462257e-01  6.17138505e-01 -4.08001691e-01  5.86630046e-01
  1.47219077e-01  4.68010455e-01 -2.14517757e-01  1.48614451e-01
  5.65443575e-01  7.95685887e-01 -9.21344161e-02 -1.90241575e-01
 -2.67519504e-01  5.01898527e-01 -4.09641922e-01 -9.21396390e-02
 -2.28892908e-01  4.98166829e-01 -7.85030127e-02  5.21938205e-01
  7.65301138e-02  1.32963419e-01 -3.35138321e-01 -1.91851586e-01
 -5.44259608e-01  2.42723182e-01  1.14934236e-01 -1.58107311e-01
 -7.53381029e-02 -3.78324121e-01 -5.44002712e-01 -1.40717611e-01
  4.43156600e-01 -7.82647431e-02  4.94127087e-02 -6.49601826e-03
 -2.88339574e-02 -6.26235968e-03 -7.78587237e-02 -5.59153318e-01
  1.05582945e-01 -1.01380602e-01  1.05894670e-01 -6.82200789e-02
 -5.26615605e-02  5.40953241e-02  1.61856890e-01 -5.01261294e-01
 -2.83692598e-01  2.35037863e-01 -1.92393407e-01 -2.81488657e-01
  3.82539272e-01 -1.92634150e-01 -2.06499755e-01 -1.32875755e-01
  1.25217726e-02  4.09416288e-01 -2.09619641e-01  2.27720186e-01
 -5.33028364e-01  8.42368901e-02  1.87486596e-02 -5.88932149e-02
  4.87345494e-02  3.50828134e-02  3.55875671e-01 -1.38425514e-01
  5.51264994e-02 -3.03415060e-02  2.30331853e-01 -1.20921165e-01
 -3.22576851e-01  7.69149512e-02  5.48433959e-02  2.01854303e-01
 -1.77708775e-01  5.42775750e-01 -6.48490310e-01  5.04037440e-01
 -2.12952435e-01  4.91431216e-03 -3.34499031e-01 -2.39037573e-01]"
焼き,"[-0.11583775  0.4265876  -0.5911692   0.20046432 -0.2903786  -0.51008606
  0.22421306 -0.18852504  0.02539218  0.12513384  0.5057901   0.29772502
 -0.516773   -0.5206079   0.75847536  0.27723286 -0.2410577  -0.3026606
 -0.16644892 -0.47074667  0.307043   -0.5641181   0.05905912 -0.05098899
  0.47393063 -0.42166474 -0.5851447   0.60061496 -0.67189753  0.5363156
 -0.4702192  -0.7812673  -0.46430713 -0.23623472  0.11302884 -0.16939135
 -0.36620584 -0.14434789  0.23325844 -0.8808394   0.3653472  -0.26014355
  0.2525582  -0.6464154   0.07736211  0.4211866  -0.10205265  0.16171867
 -0.17469783  0.5597714   0.2999074  -0.11987716 -0.39737734 -0.3303999
  0.58654773  0.18831143  0.13366704 -0.5396004  -0.15875666  0.22591667
  0.84766406 -0.4640121   0.02367167  0.24939987  0.31083468 -0.01443132
  0.89399606 -0.92086977  1.3182358  -0.48045358  0.16053714  0.15879568
  0.09475115  0.42738456 -0.08852907  0.04154983 -0.01169983 -0.7306914
 -0.23942612 -0.782647    0.14341292 -0.5687557  -0.04454586  0.20914197
 -0.03725299 -0.44086698 -0.34030846 -0.1611831   0.25833634 -0.7139726
 -0.24440958  0.03563745  0.2660251  -0.02539207  0.13401051 -0.06494326
 -0.35256147 -0.40716118 -0.04373987 -0.05292763 -0.11300084  0.51496845
 -0.3496853   0.11929557 -0.35474887 -0.2165515  -0.27201924  0.29743356
  0.02876653 -0.08884344  0.1698402  -0.7856735  -0.1175672   0.22446051
 -0.19663632 -0.571655   -0.46262324  0.69056445  0.10941345  0.37009442
  0.3844518   0.80226946 -0.26847598 -0.7692251   0.8710554  -0.13971527
 -0.27623844  0.06521907 -0.09093307 -0.37425578  0.22595316  0.42656
  0.10023903  0.19544296 -0.42327055 -0.5385916   0.03941486  0.68947846
  0.14181508 -0.16101359  0.3689112   0.25465488 -0.5708517   0.537612
 -0.8243738  -0.20122673 -0.41454268 -0.2442278  -0.42307627 -0.18855146
  0.6078279  -0.283315    0.5261996   0.20925143 -0.4272431  -0.48952478
 -0.02365668  0.07552445  0.44130504 -0.6228022  -0.01046883  0.04604122
  0.0902312  -0.41245142  0.1103562  -0.13573718  0.469243    0.09949294
  0.46895084 -0.26291484  0.897216   -0.36927143 -0.24617401 -0.49994463
 -0.14648047 -0.41002262 -0.13645537  0.43069595 -0.44327295  0.01957645
  0.29039028  0.28703767  0.23765007  0.2124926   0.33016425  0.83966666
  0.0774118  -0.10220684 -0.519831   -0.42856354 -0.47529215 -0.37300998
  0.09350119  0.05963543  0.31228846  0.15645292 -0.27719668 -0.6952742
 -0.3595876  -0.03475572]"
さ,"[ 3.63226920e-01 -8.25040638e-02 -3.41405898e-01 -8.65091309e-02
 -3.32051247e-01 -5.31539083e-01  1.61907762e-01  2.90804982e-01
  7.24840239e-02  3.72862488e-01 -2.43416637e-01  3.83826792e-01
  2.62530148e-01 -6.53913140e-01 -4.67114091e-01  2.57068962e-01
  1.58179343e-01 -6.52263343e-01  2.73288377e-02 -2.29754359e-01
 -1.09159023e-01 -3.31960022e-01 -2.46971086e-01 -1.80579305e-01
 -2.46907055e-01 -1.65877298e-01 -9.46020126e-01  7.89660886e-02
  2.10847408e-01  5.85708261e-01 -2.22974401e-02 -3.57419550e-01
 -1.41239643e-01 -5.93595020e-03  7.61486948e-01 -1.25925586e-01
 -6.18176758e-01  3.02542269e-01 -5.11713177e-02  3.45105112e-01
 -4.75225896e-01 -3.90164912e-01  6.18244112e-02 -8.09277594e-01
 -6.71549961e-02 -2.94058770e-01 -2.20652208e-01  1.03690989e-01
 -3.73656422e-01  2.21645877e-01 -8.47021759e-01  6.54440343e-01
 -4.18932855e-01 -7.43230572e-03 -2.15687037e-01  4.24546301e-01
  7.30663836e-02 -1.53010311e-02  2.37152934e-01 -8.39114964e-01
 -1.47521093e-01 -3.11245650e-01 -1.66980654e-01  5.24298906e-01
  1.69502318e-01  4.15540844e-01  1.05093978e-01  6.22052476e-02
  5.62574446e-01 -9.75325927e-02 -5.02344906e-01  1.66878011e-02
 -8.91439259e-01  1.84798971e-01  7.97943994e-02 -1.11276112e-01
 -1.24517396e-01 -4.59888190e-01 -7.40736902e-01 -6.66100299e-04
 -1.31275862e-01  3.23342755e-02 -3.53910923e-01  3.76345497e-03
 -2.46144235e-01 -3.60141508e-02 -2.22956277e-02 -5.07810295e-01
 -5.30652881e-01 -4.09265995e-01  2.97587961e-02  1.19166410e+00
  8.16330239e-02  3.79573524e-01 -2.85805345e-01  8.69881064e-02
 -1.05906576e-01 -1.71434596e-01  2.42940918e-01  7.54861534e-01
 -2.98610836e-01 -3.13041538e-01 -9.42736939e-02 -1.09739386e-01
  6.84697390e-01 -1.41968578e-01  5.54259002e-01  2.13251427e-01
 -4.14636433e-02  2.52856612e-01 -1.73413113e-01  1.94947887e-02
 -1.26981869e-01  4.81322706e-01 -3.33264261e-01 -7.56516904e-02
 -3.39233935e-01  1.90345377e-01 -1.50961384e-01 -1.29300699e-01
 -3.33528757e-01  1.42447716e-02  3.35621089e-01  3.63564998e-01
 -1.41417095e-02  9.97595340e-02  2.72394001e-01  2.74596155e-01
  1.38139009e-01  2.29969800e-01 -1.43706068e-01 -3.19993973e-01
 -4.55921113e-01  2.65397839e-02  1.90107480e-01 -3.14691544e-01
 -5.44333505e-03  6.75562173e-02 -4.19105202e-01  1.24308906e-01
 -2.43112464e-02  9.76536930e-01 -7.83180296e-01  2.55397595e-02
  9.60183069e-02  7.57034123e-02  1.27346918e-01 -1.73804551e-01
  1.77452847e-01 -3.90297055e-01  4.00087148e-01 -1.33538947e-01
 -2.46135905e-01  8.43052045e-02  4.10381705e-01  3.29884559e-01
  2.61710882e-01  1.55403629e-01  5.11512518e-01 -3.14321339e-01
  1.21245742e-01 -2.15260148e-01 -6.28857553e-01 -5.34389377e-01
  3.40836123e-02 -3.19620296e-02  1.05575442e+00 -2.37368166e-01
 -3.70661430e-02 -1.11346915e-02  1.89083979e-01 -9.07501400e-01
  9.95541364e-02 -2.64820661e-02 -4.47224826e-01 -4.76538092e-01
  2.90697783e-01  2.97054142e-01  7.98180923e-02  5.21687090e-01
 -2.51066148e-01  6.56239927e-01  2.16888294e-01  2.52682537e-01
 -3.90238374e-01 -6.27309233e-02 -1.55118972e-01 -1.04282670e-01
  1.08284391e-01 -1.69468656e-01 -6.30443990e-02 -3.61995734e-02
 -2.06428424e-01  4.85594332e-01  5.67774698e-02 -1.17502436e-01
  6.03742115e-02  5.77710807e-01 -7.24770427e-02  4.59882170e-02]"
流,"[-0.5664701  -0.04663675 -0.82430226  0.06564952 -0.75026447 -0.24700445
  0.15825923 -0.7721673   0.27234805  0.15626541 -0.06031543  0.17476134
 -0.02715045 -0.22039206  0.2238747  -0.2659427   0.5385992  -0.01666569
  0.34329367  0.06310867 -0.16662842  0.09735218 -0.06046547 -0.1837201
  0.13025032 -0.22159447  0.03186054 -0.37142903  0.5761275   0.38667703
 -0.03511915 -0.11443686 -0.13142255  0.51857066 -0.5314139  -0.0026182
  0.59704864  0.13401921 -0.23320574 -0.0923251   0.7952063   0.0204437
 -0.6930534  -0.29160818 -0.07455754 -0.5317433  -0.2921088   0.1326792
 -0.32089183  0.09842961 -0.00113815 -0.3112293   0.2536388  -0.23852636
  0.30894184  0.25290996 -0.00289142 -0.03300612 -0.47768867 -0.3680741
  0.24159051 -0.40750617 -0.3894266  -0.15226567  0.46022192 -0.25033915
 -0.01637066 -0.2149909   0.4097746  -0.1692923   0.5565298  -0.30020267
 -0.50697255  0.07226055 -0.08538388  0.01363225 -0.11466014  0.02805514
 -0.51173687 -0.05245379 -0.44101104 -0.04952087 -0.07966017  0.6839591
  0.26673886 -0.06342182  0.27193493 -0.670146   -0.46968678  0.03068294
  0.39628604 -0.610476   -0.42891943  0.2554769  -0.37665114 -0.00563108
 -0.17697756 -0.03590718 -0.06445682  0.18895942 -0.58826596 -0.6927339
 -0.73723906  0.0944527   0.01842521  0.12790942 -0.08252865  0.21753673
  0.01422727  0.00457596  0.15163074  0.2099079   0.13967328  0.1546089
  0.11573023 -0.4078984  -0.3796172   0.9038709  -0.48142686 -0.00612067
  0.25584477 -0.42294228 -0.27152926 -0.19440793  0.23519851 -0.17156036
 -0.3094781  -0.41845503 -0.16498987  0.02602097  0.16171299  0.32581204
  0.16271041  0.45651853 -0.29651317 -0.17964408 -0.36262843  0.37111604
 -0.34062713  0.5927078   0.22843604 -0.125764    0.36134624  0.25732592
 -0.2258124  -0.14607616 -0.281432   -0.54829663  0.0124841  -0.14304642
  0.6240184  -0.03479762  0.29510412  0.5766405   0.49333048 -0.53562945
  0.3481196  -0.23646799 -0.09882692  0.04341251 -0.53404033  0.13193491
  0.3234027  -0.2434828  -0.17803119  0.04925892 -0.04527124  0.11877228
 -0.10642654 -0.4669948  -0.39952236  0.41450498  0.09074614  0.2639106
  0.09356461 -0.05810678  0.10997887  0.23626046 -0.5168882   0.29654172
  0.5835207  -0.14827533  0.28998995 -0.71516174 -0.11509845  0.2259947
  0.63650924  0.11759524  0.36590666 -0.3715975   0.06490703  0.20346417
  0.37035125 -0.11147067  0.22667284  0.38523862 -0.19757062  0.3594241
 -0.04907469 -0.2621964 ]"
展示,"[-0.10175932  0.75783294 -0.21527591  0.4894416  -0.32534117 -0.41244224
  0.14204316 -0.34723136  0.02288643 -0.28497976 -0.20177187  0.44287136
  0.10653877  0.5139066  -0.5948055  -0.49393323  0.17568013 -0.50320506
  0.03212392 -0.16147067 -0.44428477  0.14307034  0.24141107  0.00390712
  0.08771577  0.24044427 -0.46655792  0.39347088  0.22330089  0.08014763
 -0.62184584 -0.599357   -0.2525208   0.21644588  0.17979163  0.06038027
 -0.31465048 -0.35614386 -0.26423806  0.21456128  0.17670253 -0.5544447
  0.07901812  0.21488278 -0.07877263  0.20377636 -0.04716062  0.13157435
 -0.5938064  -0.17673644 -0.73715687  0.2870409   0.30589426 -0.54878765
  0.10595196  0.0950758  -0.00439982  0.3697217  -0.03091963 -0.36071938
  0.44621804 -0.12959357  0.24211058  0.09089032  0.28100112 -0.06148436
 -0.4983939  -0.00457051  0.28988954 -0.37572363  0.39909625 -0.15880282
  0.15656382 -0.41093522 -0.38452217 -0.22751415 -0.13416575 -0.08354057
  0.0748319   0.01998275  0.38405684 -0.38602546 -0.31445128 -0.18676227
 -0.5445771   0.2192362   0.21134792 -0.09349934 -0.18738545 -0.14061841
  0.17548192 -0.21341422 -0.23491137  0.10192774 -0.2885364  -0.0644039
 -0.13486564  0.10922124 -0.1240461   0.47862962 -0.5011171  -0.36507908
 -0.4450807   0.35235062 -0.29872236 -0.25534445  0.20782153 -0.04094195
  0.21644166 -0.77918553  0.37573117  0.09763415 -0.7087605  -0.3790402
  0.2812416  -0.4031908  -0.4440896   0.09764851  0.30235365  0.21571048
  0.32770088 -0.00428997 -0.06690372 -0.4227848   0.02129324 -0.07291353
 -0.1617958  -0.13717066 -0.4077626   0.02421843 -0.12273465  0.35700828
  0.0271476   0.23268536  0.17564994  0.14285176 -0.3290416   0.6270681
 -0.37323448 -0.02817175 -0.35233673 -0.07725621 -0.41484988  0.32869697
 -1.0174607  -0.1300402  -0.21733382 -0.06581857 -0.07232766 -0.64380723
 -0.2724209  -0.9865282  -0.08830829  0.13931383 -0.1856313  -0.77734286
  0.3636799  -0.12667955 -0.36829636 -0.3259725  -0.01732868  0.3710631
 -0.2403844  -0.11751206 -0.27131385  0.77556735 -0.07780792  0.47843087
  0.07623139 -0.16522165  0.00592408 -0.03241612  0.5934469   0.26468596
  0.4566593   0.10563756 -0.00483579  0.39088616  0.17480347 -0.05656862
 -0.37674192 -0.01366046  0.0162176  -0.01858493 -0.49747443  0.18465602
  0.55720514 -0.4651603  -0.7162303  -0.11565453  0.0591778   0.08124319
  0.20937282  0.36877567  0.05315153 -0.2863814  -0.4923281   0.00177835
  0.5067136  -0.43452597]"
天体,[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
釣,"[-0.6756255  -0.22290798 -0.05288254  0.3252929  -0.43120128 -0.30005917
  0.52116203  0.11009824 -0.13772674 -0.06761371 -0.02979204  0.06280749
 -0.4427002   0.10288768  0.00627789 -0.28954816  0.0024841   0.01675305
 -0.09944972 -0.04573554  0.07153363  0.02829805  0.2038466  -0.47842136
 -0.15921488 -0.21602653 -0.33468348  0.7992706  -0.3367513  -0.26278844
 -0.7256093   0.01312161 -0.3558054  -0.052902    0.16983847 -0.16166995
 -0.25532117  0.03962197 -0.28059646  0.10809466 -0.00721686 -0.2634427
  0.6210268   0.06710799 -0.25346592 -0.45450336 -0.24264532 -0.37948385
 -0.3596481   0.47322926  0.0710854  -0.16934074 -0.3031098  -0.07809701
  0.03729825  0.5211269   0.13841477 -0.43565276 -0.05688962 -0.61099064
  0.38603455 -0.28024     0.21584657 -0.04371591 -0.2010714   0.0216455
  0.76595604 -0.17911944 -0.04986367 -0.7323054   0.5122789   0.12899606
 -0.44921806  0.56276995  0.36053428  0.12366746  0.55002403  0.12776425
 -0.72422963 -0.7243098   0.11770039  0.09929373 -0.57082397 -0.42368305
 -0.6601636   0.3587557   0.46776277 -0.3476362  -0.08567344  0.86152464
  0.5595205  -0.3947173  -0.37260407 -0.15045631 -0.68786997  0.3389067
  0.2186674  -0.00339591 -0.10769486  0.3661361  -0.00889194  0.226012
 -0.64215636 -0.187183    0.3008255  -0.17339054 -0.08597432  0.63570285
 -0.31556958  0.1168791  -0.8746546  -0.5696694  -0.40518793 -0.00631962
 -0.25996056 -0.25632137 -0.07704838  0.4713789   0.50825787 -0.34241372
  0.16527554 -0.01870484  0.2656545  -0.4838918  -0.21629791 -0.22324339
  0.0335407   0.22479798  0.19738743 -0.1446532   0.10859577  0.39984483
 -0.38321918 -0.33277985  0.32126206  0.02975171 -0.24627739  0.51737165
  0.25261348  0.41982472 -0.04728833 -0.3450416   0.1291598   0.10694053
 -0.32860503 -0.19888009 -0.86807436  0.23743758  0.23462327 -0.4168266
  0.02596352 -0.41884536 -0.18522395  0.15246087  0.4414428  -0.96375436
  0.13258407  0.18735714  0.460974    0.18484786 -0.51830864  0.16500913
  0.0212801  -0.38109338  0.46935934 -0.14460498  0.13780731  0.16890778
  0.4400719   0.27250573 -0.04257251 -0.01076134  0.04452638 -0.02053429
 -0.0333822   0.50217855 -0.05399439  0.21310747  0.20055223 -0.20092951
  0.5318299   0.22653718  0.4258282  -0.4557768   0.22762138 -0.2599251
  0.5807997   0.10726191 -0.32575068 -0.35270888  0.17231515 -0.25105917
  0.82651573  0.6924457   0.8758726   0.43203446 -0.488873   -0.4397834
  0.14476353 -0.2840396 ]"
